omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	Manual enter from File Directory	"Dropdown with Graded Level, processor manually enters name"		TBD			yes/no					checkbox tracking if found data has been received	Drop down or Checkbox with specific descriptions of data	"dated entries, manually entered with category selectable as a note type"	Dropdown	Dropdown	Dropdown		"Info pulled up when County/Town selected, dropdown selection"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"										"Info pulled up when County/Town selected, manually entered"		"needs to be merged with data from column A, will be dropdown"	dropdown with options	Dropdown with options				"Info pulled up when County/Town selected, drop down of types of depts that run GIS"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	manually entered	"dated entries, manually entered with category selectable as a note type"	dropdown with options	Manually entered	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	manually entered field		omitted from tool	omitted from tool	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	omitted from tool
																							Indiana	Noble	Cromwell																																																						
																							Indiana	Noble	Kendallville																																																						
																							Indiana	Noble	Ligonier																																																						
																							Indiana	Noble	Wolcottville																																																						
										TBD													Indiana	Ohio				18	115			6065		#DIV/0!			47	http://www.homes.com/for-sale/ohio-county-in/						http://ohio.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Ohio	Rising Sun																																																						
										TBD													Indiana	Orange				18	117			19712		#DIV/0!	167	"https://www.zillow.com/homes/for_sale/Orange-County-IN/pmf,pf_pt/_type/1288_rid/globalrelevanceex_sort/38.718465,-86.200448,38.364002,-86.790963_rect/10_zm/"	84	http://www.homes.com/for-sale/orange-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Orange	French Lick																																																						
																							Indiana	Orange	Orleans																																																						
																							Indiana	Orange	Paoli																																																						
																							Indiana	Orange	West Baden Springs																																																						
										TBD													Indiana	Owen				18	119			21372		#DIV/0!	232	"https://www.zillow.com/homes/for_sale/Owen-County-IN/pmf,pf_pt/_type/264_rid/globalrelevanceex_sort/39.494768,-86.547204,39.144173,-87.137719_rect/10_zm/"	206	http://www.homes.com/for-sale/owen-county-in/						http://owenin.egis.39dn.com/#												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Owen	Gosport																																																						
																							Indiana	Owen	Spencer																																																						
										TBD													Indiana	Parke				18	121			17107		#DIV/0!	93	"https://www.zillow.com/homes/for_sale/Parke-County-IN/pmf,pf_pt/_type/668_rid/globalrelevanceex_sort/39.953174,-86.926232,39.604894,-87.516747_rect/10_zm/"	112	http://www.homes.com/for-sale/parke-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Parke	Bethany																																																						
																							Indiana	Parke	Bloomingdale																																																						
																							Indiana	Parke	Marshall																																																						
																							Indiana	Parke	Mecca																																																						
																							Indiana	Parke	Montezuma																																																						
																							Indiana	Parke	Rockville																																																						
																							Indiana	Parke	Rosedale																																																						
										TBD													Indiana	Perry				18	123			19466		#DIV/0!	160	"https://www.zillow.com/homes/for_sale/Perry-County-IN/pmf,pf_pt/_type/677_rid/globalrelevanceex_sort/38.41002,-86.031876,37.696317,-87.212906_rect/9_zm/"	66	http://www.homes.com/for-sale/perry-county-in/						http://perry.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Perry	Cannelton																																																						
																							Indiana	Perry	Rome City																																																						
																							Indiana	Perry	Tell City																																																						
																							Indiana	Perry	Troy																																																						
										TBD													Indiana	Pike				18	125			12785		#DIV/0!	80	"https://www.zillow.com/homes/for_sale/Pike-County-IN/pmf,pf_pt/_type/275_rid/globalrelevanceex_sort/38.569374,-86.972237,38.214176,-87.562752_rect/10_zm/"	38	http://www.homes.com/for-sale/pike-county-in/						http://pike.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Pike	Petersburg																																																						
																							Indiana	Pike	Spurgeon																																																						
																							Indiana	Pike	Union City																																																						
																							Indiana	Pike	Winslow																																																						
										TBD													Indiana	Porter				18	127			165681		#DIV/0!	1697	https://www.zillow.com/porter-county-in/	1371	http://www.homes.com/for-sale/porter-county-in/						http://porterin.mygisonline.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Porter	Beverly Shores																																																						
																							Indiana	Porter	Burns Harbor																																																						
																							Indiana	Porter	Chesterton																																																						
																							Indiana	Porter	Dune Acres																																																						
																							Indiana	Porter	Hebron																																																						
																							Indiana	Porter	Kouts																																																						
																							Indiana	Porter	Ogden Dunes																																																						
																							Indiana	Porter	Pine																																																						
																							Indiana	Porter	Portage																																																						
																							Indiana	Porter	Porter																																																						
																							Indiana	Porter	Town of Pines																																																						
																							Indiana	Porter	Valparaiso																																																						
										TBD													Indiana	Posey				18	129			25589		#DIV/0!	201	https://www.zillow.com/posey-county-in/	211	http://www.homes.com/for-sale/posey-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Posey	Cynthiana																																																						
																							Indiana	Posey	Griffin																																																						
																							Indiana	Posey	Mount Vernon																																																						
																							Indiana	Posey	New Harmony																																																						
																							Indiana	Posey	Poseyville																																																						
										TBD													Indiana	Pulaski				18	131			13072		#DIV/0!	103	https://www.zillow.com/pulaski-county-in/	145	http://www.homes.com/for-sale/pulaski-county-in/						http://pulaski.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Pulaski	Francesville																																																						
																							Indiana	Pulaski	Medaryville																																																						
																							Indiana	Pulaski	Monterey																																																						
																							Indiana	Pulaski	Winamac																																																						
										TBD													Indiana	Putnam				18	133			37645		#DIV/0!	292	https://www.zillow.com/putnam-county-in/	276	http://www.homes.com/for-sale/putnam-county-in/						http://putnam.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Putnam	Bainbridge																																																						
																							Indiana	Putnam	Cloverdale																																																						
																							Indiana	Putnam	Fillmore																																																						
																							Indiana	Putnam	Greencastle																																																						
																							Indiana	Putnam	Roachdale																																																						
																							Indiana	Putnam	Russellville																																																						
										TBD													Indiana	Randolph				18	135			25848		#DIV/0!	119	https://www.zillow.com/randolph-county-in/	98	http://www.homes.com/for-sale/randolph-county-in/						http://randolph.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Randolph	Farmland																																																						
																							Indiana	Randolph	Losantville																																																						
																							Indiana	Randolph	Lynn																																																						
																							Indiana	Randolph	Modoc																																																						
																							Indiana	Randolph	Parker City																																																						
																							Indiana	Randolph	Ridgeville																																																						
																							Indiana	Randolph	Saratoga																																																						
																							Indiana	Randolph	Winchester																																																						
																							Indiana	Ripley				18	137			28504		#DIV/0!	129	https://www.zillow.com/ripley-county-in/	166	http://www.homes.com/for-sale/ripley-county-in/						http://ripley.in.wthgis.com/																																			
																							Indiana	Ripley	Batesville																																																						
																							Indiana	Ripley	Holton																																																						
																							Indiana	Ripley	Milan																																																						
																							Indiana	Ripley	Napoleon																																																						
																							Indiana	Ripley	Osgood																																																						
																							Indiana	Ripley	Sunman																																																						
																							Indiana	Ripley	Versailles																																																						
										TBD													Indiana	Rush				18	139			17127		#DIV/0!	109	https://www.zillow.com/rush-county-in/	112	http://www.homes.com/for-sale/rush-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Rush	Carthage																																																						
																							Indiana	Rush	Glenwood																																																						
																							Indiana	Rush	Richland																																																						
																							Indiana	Rush	Rushville																																																						
										TBD													Indiana	St Joseph				18	141			266461		#DIV/0!	1779	https://www.zillow.com/saint-joseph-county-in/	879	http://www.homes.com/for-sale/st-joseph-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	St Joseph	Lakeville																																																						
																							Indiana	St Joseph	Mishawaka																																																						
																							Indiana	St Joseph	New Carlisle																																																						
																							Indiana	St Joseph	North Liberty																																																						
																							Indiana	St Joseph	Osceola																																																						
																							Indiana	St Joseph	Plainfield																																																						
																							Indiana	St Joseph	Roseland																																																						
																							Indiana	St Joseph	South Bend																																																						
																							Indiana	St Joseph	Walkerton																																																						
																							Indiana	St Joseph	Westfield																																																						
										TBD													Indiana	Scott				18	143			23845		#DIV/0!	86	https://www.zillow.com/scott-county-in/	113	http://www.homes.com/for-sale/scott-county-in/						http://scott.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Scott	Albion																																																						
																							Indiana	Scott	Austin																																																						
																							Indiana	Scott	Scottsburg																																																						
										TBD													Indiana	Shelby				18	145			44499		#DIV/0!	271	https://www.zillow.com/shelby-county-in/	227	http://www.homes.com/for-sale/shelby-county-in/						http://shelby.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Shelby	Fairland																																																						
																							Indiana	Shelby	Geneva																																																						
																							Indiana	Shelby	Morristown																																																						
																							Indiana	Shelby	Shelbyville																																																						
										TBD													Indiana	Spencer				18	147			20900		#DIV/0!	224	https://www.zillow.com/spencer-county-in/	163	http://www.homes.com/for-sale/spencer-county-in/						http://spencer.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Spencer	Chrisney																																																						
																							Indiana	Spencer	Dale																																																						
																							Indiana	Spencer	Gentryville																																																						
																							Indiana	Spencer	Grandview																																																						
																							Indiana	Spencer	Rockport																																																						
																							Indiana	Spencer	Santa Claus																																																						
										TBD													Indiana	Starke				18	149			23203		#DIV/0!	273	https://www.zillow.com/starke-county-in/	268	http://www.homes.com/for-sale/starke-county-in/						http://thinkopengis.starke.in.wthtechnology.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Starke	Hamlet																																																						
																							Indiana	Starke	North Judson																																																						
										TBD													Indiana	Steuben				18	151			34180		#DIV/0!	582	https://www.zillow.com/steuben-county-in/	480	http://www.homes.com/for-sale/steuben-county-in/						http://www.co.steuben.in.us/departments/gis/index.php												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Steuben	Angola																																																						
																							Indiana	Steuben	Ashley																																																						
																							Indiana	Steuben	Clear Lake																																																						
																							Indiana	Steuben	Fremont																																																						
																							Indiana	Steuben	Hamilton																																																						
																							Indiana	Steuben	Hudson																																																						
																							Indiana	Steuben	Orland																																																						
										TBD													Indiana	Sullivan				18	153			21229		#DIV/0!	82	https://www.zillow.com/sullivan-county-in/	107	http://www.homes.com/for-sale/sullivan-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Sullivan	Carlisle																																																						
																							Indiana	Sullivan	Dugger																																																						
																							Indiana	Sullivan	Farmersburg																																																						
																							Indiana	Sullivan	Greenville																																																						
																							Indiana	Sullivan	Hymera																																																						
																							Indiana	Sullivan	Merom																																																						
																							Indiana	Sullivan	Shelburn																																																						
																							Indiana	Sullivan	Sullivan																																																						
										TBD													Indiana	Switzerland				18	155			10416		#DIV/0!	69	https://www.zillow.com/switzerland-county-in/	129	http://www.homes.com/for-sale/switzerland-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Switzerland	Patriot																																																						
																							Indiana	Switzerland	Vevay																																																						
										TBD													Indiana	Tippecanoe				18	157			177786		#DIV/0!	808	https://www.zillow.com/tippecanoe-county-in/	628	http://www.homes.com/for-sale/tippecanoe-county-in/						http://gis2.tippecanoe.in.gov/PublicSL/Viewer.html?Viewer=Public												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Tippecanoe	Battle Ground																																																						
																							Indiana	Tippecanoe	Clarks Hill																																																						
																							Indiana	Tippecanoe	Dayton																																																						
																							Indiana	Tippecanoe	Lafayette																																																						
																							Indiana	Tippecanoe	Shadeland																																																						
																							Indiana	Tippecanoe	West Lafayette																																																						
										TBD													Indiana	Tipton				18	159			15756		#DIV/0!	122	https://www.zillow.com/tipton-county-in/	42	http://www.homes.com/for-sale/tipton-county-in/						http://www.tiptoncounty.in.gov/OnlineServices/GIS/tabid/1245/Default.aspx												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Tipton	Kempton																																																						
																							Indiana	Tipton	Sharpsville																																																						
																							Indiana	Tipton	Tipton																																																						
																							Indiana	Tipton	Windfall City																																																						
										TBD													Indiana	Union				18	161			7349		#DIV/0!	25	https://www.zillow.com/union-county-in/	13	http://www.homes.com/for-sale/union-county-in/						http://union.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Union	West College Corner																																																						
										TBD													Indiana	Vanderburgh				18	163			180713		#DIV/0!	1178	https://www.zillow.com/vanderburgh-county-in/	1858	http://www.homes.com/for-sale/vanderburgh-county-in/						http://www.evansvillegis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Vanderburgh	Darmstadt																																																						
																							Indiana	Vanderburgh	Evansville																																																						
																							Indiana	Vanderburgh	Highland																																																						
										TBD													Indiana	Vermillion				18	165			15965		#DIV/0!	54	https://www.zillow.com/vermillion-county-in/	91	http://www.homes.com/for-sale/vermillion-county-in/						http://thinkopengis.vermillion.in.wthtechnology.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Vermillion	Cayuga																																																						
																							Indiana	Vermillion	Clinton																																																						
																							Indiana	Vermillion	Dana																																																						
																							Indiana	Vermillion	Fairview Park																																																						
																							Indiana	Vermillion	Newport																																																						
																							Indiana	Vermillion	Perrysville																																																						
																							Indiana	Vermillion	Universal																																																						
										TBD													Indiana	Vigo				18	167			108534		#DIV/0!	614	https://www.zillow.com/vigo-county-in/	888	http://www.homes.com/for-sale/vigo-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Vigo	Seelyville																																																						
																							Indiana	Vigo	Spring Hill																																																						
																							Indiana	Vigo	State Line City																																																						
																							Indiana	Vigo	Terre Haute																																																						
																							Indiana	Vigo	West Terre Haute																																																						
										TBD													Indiana	Wabash				18	169			32422		#DIV/0!	254	https://www.zillow.com/wabash-county-in/	57	http://www.homes.com/for-sale/wabash-county-in/						http://gis.wabashcounty85.us/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Wabash	La Fontaine																																																						
																							Indiana	Wabash	Lagro																																																						
																							Indiana	Wabash	North Manchester																																																						
																							Indiana	Wabash	Roann																																																						
																							Indiana	Wabash	Wabash																																																						
										TBD													Indiana	Warren				18	171			8391		#DIV/0!	51	https://www.zillow.com/warren-county-in/	14	http://www.homes.com/for-sale/warren-county-in/						http://warren.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Warren	West Lebanon																																																						
																							Indiana	Warren	Williamsport																																																						
										TBD													Indiana	Warrick				18	173			60445		#DIV/0!	369	https://www.zillow.com/warrick-county-in/	381	http://www.homes.com/for-sale/warrick-county-in/						http://www.warrickcounty.gov/WarrickGIS.aspx												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Warrick	Boonville																																																						
																							Indiana	Warrick	Chandler																																																						
																							Indiana	Warrick	Elberfeld																																																						
																							Indiana	Warrick	Lynnville																																																						
																							Indiana	Warrick	Newburgh																																																						
																							Indiana	Warrick	Tennyson																																																						
										TBD													Indiana	Washington				18	175			27916		#DIV/0!	151	https://www.zillow.com/washington-county-in/	203	http://www.homes.com/for-sale/washington-county-in/						http://washington.in.wthgis.com/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Washington	Campbellsburg																																																						
																							Indiana	Washington	Hardinsburg																																																						
																							Indiana	Washington	Little York																																																						
																							Indiana	Washington	Livonia																																																						
																							Indiana	Washington	New Pekin																																																						
																							Indiana	Washington	Salem																																																						
																							Indiana	Washington	Saltillo																																																						
										TBD													Indiana	Wayne				18	177			68279		#DIV/0!	299	https://www.zillow.com/wayne-county-in/	263	http://www.homes.com/for-sale/wayne-county-in/																		http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Wayne	Boston																																																						
																							Indiana	Wayne	Cambridge City																																																						
																							Indiana	Wayne	Centerville																																																						
																							Indiana	Wayne	Dublin																																																						
																							Indiana	Wayne	East Germantown																																																						
																							Indiana	Wayne	Economy																																																						
																							Indiana	Wayne	Fountain City																																																						
																							Indiana	Wayne	Greens Fork																																																						
																							Indiana	Wayne	Hagerstown																																																						
																							Indiana	Wayne	Milton																																																						
																							Indiana	Wayne	Mount Auburn																																																						
																							Indiana	Wayne	Pennville																																																						
																							Indiana	Wayne	Richmond																																																						
																							Indiana	Wayne	Spring Grove																																																						
																							Indiana	Wayne	Whitewater																																																						
										TBD													Indiana	Wells				18	179			27718		#DIV/0!	234	https://www.zillow.com/wells-county-in/	215	http://www.homes.com/for-sale/wells-county-in/						https://wellscounty.org/gis/												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Wells	Bluffton																																																						
																							Indiana	Wells	Ossian																																																						
																							Indiana	Wells	Poneto																																																						
																							Indiana	Wells	Uniondale																																																						
																							Indiana	Wells	Vera Cruz																																																						
										TBD													Indiana	White				18	181			24456		#DIV/0!	332	https://www.zillow.com/white-county-in/	341	http://www.homes.com/for-sale/white-county-in/						http://in91.plexisgroup.com/disclaimer.htm												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	White	Brooksto																																																						
																							Indiana	White	Burnettsville																																																						
																							Indiana	White	Chalmers																																																						
																							Indiana	White	Liberty																																																						
																							Indiana	White	Monon																																																						
																							Indiana	White	Monticello																																																						
																							Indiana	White	Reynolds																																																						
																							Indiana	White	Wolcott																																																						
										TBD													Indiana	Whitley				18	183			33312		#DIV/0!	250	https://www.zillow.com/whitley-county-in/	243	http://www.homes.com/for-sale/whitley-county-in/						http://beacon.schneidercorp.com/?site=WhitleyCountyIN												http://maps.indiana.edu/layerGallery.html?category=Land																							
																							Indiana	Whitley	Churubusco																																																						
																							Indiana	Whitley	Larwill																																																						
																							Indiana	Whitley	South Whitley																																																						
																							Iowa	Adair		Yes		19	1			7515		#DIV/0!	39	https://www.zillow.com/adair-county-ia/	9	http://www.homes.com/for-sale/adair-county-ia/																																									
																							Iowa	Adair	Adair																																																						
																							Iowa	Adair	Bridgewater																																																						
																							Iowa	Adair	Fontanelle																																																						
																							Iowa	Adair	Greenfield																																																						
																							Iowa	Adair	Orient																																																						
																							Iowa	Adair	Stuart																																																						
																							Iowa	Adams		Yes		19	3			3907		#DIV/0!	25	https://www.zillow.com/adams-county-ia/	8	http://www.homes.com/for-sale/adams-county-ia/						https://adamsgis.integritygis.com/H5/Index.html?viewer=adams																																			
																							Iowa	Adams	Carbon																																																						
																							Iowa	Adams	Corning																																																						
																							Iowa	Adams	Nodaway																																																						
																							Iowa	Adams	Prescott																																																						
																							Iowa	Adams	Williamson																																																						
																							Iowa	Allamakee		Yes		19	5			14203		#DIV/0!	126	https://www.zillow.com/allamakee-county-ia/	92	http://www.homes.com/for-sale/allamakee-county-ia/						http://beacon.schneidercorp.com/?site=AllamakeeCountyIA																																			
																							Iowa	Allamakee	Harpers Ferry																																																						
																							Iowa	Allamakee	Lansing																																																						
																							Iowa	Allamakee	New Albin																																																						
																							Iowa	Allamakee	Postville																																																						
																							Iowa	Allamakee	Waterville																																																						
																							Iowa	Allamakee	Waukon																																																						
																							Iowa	Appanoose		Yes		19	7			12715		#DIV/0!	258	https://www.zillow.com/appanoose-county-ia/	177	http://www.homes.com/for-sale/appanoose-county-ia/																																									
																							Iowa	Appanoose	Centerville																																																						
																							Iowa	Appanoose	Cincinnati																																																						
																							Iowa	Appanoose	Exline																																																						
																							Iowa	Appanoose	Moravia																																																						
																							Iowa	Appanoose	Moulton																																																						
																							Iowa	Appanoose	Mystic																																																						
																							Iowa	Appanoose	Numa																																																						
																							Iowa	Appanoose	Plano																																																						
																							Iowa	Appanoose	Rathbun																																																						
																							Iowa	Appanoose	Udell																																																						
																							Iowa	Appanoose	Unionville																																																						
																							Iowa	Audubon		Yes		19	9			5876		#DIV/0!	29	https://www.zillow.com/audubon-county-ia/	22	http://www.homes.com/for-sale/audubon-county-ia/																																									
																							Iowa	Audubon	Audubon																																																						
																							Iowa	Audubon	Brayton																																																						
																							Iowa	Audubon	Exira																																																						
																							Iowa	Audubon	Gray																																																						
																							Iowa	Audubon	Kimballton																																																						
																							Iowa	Benton		Yes		19	11			25849		#DIV/0!	160	https://www.zillow.com/benton-county-ia/	75	http://www.homes.com/for-sale/benton-county-ia/																																									
																							Iowa	Benton	Atkins																																																						
																							Iowa	Benton	Belle Plaine																																																						
																							Iowa	Benton	Blairstown																																																						
																							Iowa	Benton	Garrison																																																						
																							Iowa	Benton	Keystone																																																						
																							Iowa	Benton	Luzerne																																																						
																							Iowa	Benton	Mount Auburn																																																						
																							Iowa	Benton	Newhall																																																						
																							Iowa	Benton	Norway																																																						
																							Iowa	Benton	Shellsburg																																																						
																							Iowa	Benton	Urbana																																																						
																							Iowa	Benton	Van Horne																																																						
																							Iowa	Benton	Vinton																																																						
																							Iowa	Benton	Walford																																																						
																							Iowa	Black Hawk		Yes		19	13			131638		#DIV/0!	760	https://www.zillow.com/black-hawk-county-ia/	675	http://www.homes.com/for-sale/black-hawk-county-ia/																																									
																							Iowa	Black Hawk	Cedar Falls																																																						
																							Iowa	Black Hawk	Dunkerton																																																						
																							Iowa	Black Hawk	Elk Run Heights																																																						
																							Iowa	Black Hawk	Evansdale																																																						
																							Iowa	Black Hawk	Gilbertville																																																						
																							Iowa	Black Hawk	Hudson																																																						
																							Iowa	Black Hawk	Janesville																																																						
																							Iowa	Black Hawk	La Porte City																																																						
																							Iowa	Black Hawk	Raymond																																																						
																							Iowa	Black Hawk	Waterloo																																																						
										TBD													Iowa	Boone		Yes		19	15			26217		#DIV/0!	204	https://www.zillow.com/boone-county-ia/	170	http://www.homes.com/for-sale/boone-county-ia/						http://beacon.schneidercorp.com/?site=BooneCountyIA																																			
																							Iowa	Boone	Beaver																																																						
																							Iowa	Boone	Berkley																																																						
																							Iowa	Boone	Boone																																																						
																							Iowa	Boone	Boxholm																																																						
																							Iowa	Boone	Fraser																																																						
																							Iowa	Boone	Luther																																																						
																							Iowa	Boone	Madrid																																																						
																							Iowa	Boone	Ogden Dunes																																																						
																							Iowa	Boone	Pilot Mound																																																						
																							Iowa	Bremer		Yes		19	17			24472		#DIV/0!	199	https://www.zillow.com/bremer-county-ia/	225	http://www.homes.com/for-sale/bremer-county-ia/																																									
																							Iowa	Bremer	Denver																																																						
																							Iowa	Bremer	Frederika																																																						
																							Iowa	Bremer	Plainfield																																																						
																							Iowa	Bremer	Readlyn																																																						
																							Iowa	Bremer	Sumner																																																						
																							Iowa	Bremer	Tripoli																																																						
																							Iowa	Bremer	Waverly																																																						
																							Iowa	Buchanan		Yes		19	19			20946		#DIV/0!	144	https://www.zillow.com/buchanan-county-ia/	159	http://www.homes.com/for-sale/buchanan-county-ia/																																									
																							Iowa	Buchanan	Aurora																																																						
																							Iowa	Buchanan	Brandon																																																						
																							Iowa	Buchanan	Fairbank																																																						
																							Iowa	Buchanan	Hazleton																																																						
																							Iowa	Buchanan	Independence																																																						
																							Iowa	Buchanan	Jesup																																																						
																							Iowa	Buchanan	Lamont																																																						
																							Iowa	Buchanan	Quasqueton																																																						
																							Iowa	Buchanan	Rowley																																																						
																							Iowa	Buchanan	Stanley																																																						
																							Iowa	Buchanan	Winthrop																																																						
																							Iowa	Buena Vista		Yes		19	21			20562		#DIV/0!	56	https://www.zillow.com/buena-vista-county-ia/	75	http://www.homes.com/for-sale/buena-vista-county-ia/																																									
																							Iowa	Buena Vista	Albert City																																																						
																							Iowa	Buena Vista	Alta																																																						
																							Iowa	Buena Vista	Lakeside																																																						
																							Iowa	Buena Vista	Linn Grove																																																						
																							Iowa	Buena Vista	Marathon																																																						
																							Iowa	Buena Vista	Newell																																																						
																							Iowa	Buena Vista	Rembrandt																																																						
																							Iowa	Buena Vista	Sioux Rapids																																																						
																							Iowa	Buena Vista	Storm Lake																																																						
																							Iowa	Buena Vista	Truesdale																																																						
																							Iowa	Butler		Yes		19	23			14976		#DIV/0!	69	https://www.zillow.com/butler-county-ia/	72	http://www.homes.com/for-sale/butler-county-ia/																																									
																							Iowa	Butler	Allison																																																						
																							Iowa	Butler	Aplington																																																						
																							Iowa	Butler	Aredale																																																						
																							Iowa	Butler	Bristow																																																						
																							Iowa	Butler	Clarksville																																																						
																							Iowa	Butler	Dumont																																																						
																							Iowa	Butler	Greene																																																						
																							Iowa	Butler	New Hartford																																																						
																							Iowa	Butler	Parkersburg																																																						
																							Iowa	Butler	Shell Rock																																																						
																							Iowa	Calhoun		Yes		19	25			9928		#DIV/0!	42	https://www.zillow.com/calhoun-county-ia/	38	http://www.homes.com/for-sale/calhoun-county-ia/																																									
																							Iowa	Calhoun	Farnhamville																																																						
																							Iowa	Calhoun	Jolley																																																						
																							Iowa	Calhoun	Knierim																																																						
																							Iowa	Calhoun	Lake City																																																						
																							Iowa	Calhoun	Lohrville																																																						
																							Iowa	Calhoun	Manson																																																						
																							Iowa	Calhoun	Pomeroy																																																						
																							Iowa	Calhoun	Rinard																																																						
																							Iowa	Calhoun	Somers																																																						
																							Iowa	Calhoun	Yetter																																																						
																							Iowa	Carroll		Yes		19	27			20653		#DIV/0!	75	https://www.zillow.com/carroll-county-ia/	75	http://www.homes.com/for-sale/carroll-county-ia/						http://carrollia.mygisonline.com/																																			
																							Iowa	Carroll	Arcadia																																																						
																							Iowa	Carroll	Breda																																																						
																							Iowa	Carroll	Carroll																																																						
																							Iowa	Carroll	Coon Rapids																																																						
																							Iowa	Carroll	Dedham																																																						
